R		G		B
255		255		255
Count
1
Sprite Info

Index		Name
0			Animation1

			FramesCount
			29

			Animation Info
			LocationX		LocationY		FrameWidth		FrameHeight
			8				65				8				57
			18				65				8				57
			28				65				8				57
			38				65				8				57
			48				65				8				57
			58				65				8				57
			68				65				8				57
			78				65				8				57
			88				65				8				57
			98				65				8				57
			108				65				8				57
			118				65				8				57
			128				65				8				57
			138				65				8				57
			148				65				8				57
			158				65				8				57
			168				65				8				57
			178				65				8				57
			188				65				8				57
			198				65				8				57
			208				65				8				57
			218				65				8				57
			228				65				8				57
			238				65				8				57
			248				65				8				57
			258				65				8				57
			268				65				8				57
			278				65				8				57
			288				65				8				57

