R		G		B
255		255		255
Count
1
Sprite Info

Index		Name
0			Animation1

			FramesCount
			29

			Animation Info
			LocationX		LocationY		FrameWidth		FrameHeight
			8				150				8				57
			18				150				8				57
			28				150				8				57
			38				150				8				57
			48				150				8				57
			58				150				8				57
			68				150				8				57
			78				150				8				57
			88				150				8				57
			98				150				8				57
			108				150				8				57
			118				150				8				57
			128				150				8				57
			138				150				8				57
			148				150				8				57
			158				150				8				57
			168				150				8				57
			178				150				8				57
			188				150				8				57
			198				150				8				57
			208				150				8				57
			218				150				8				57
			228				150				8				57
			238				150				8				57
			248				150				8				57
			258				150				8				57
			268				150				8				57
			278				150				8				57
			288				150				8				57

